timestamp,open,high,low,close,adjusted close,volume,dividend amount
2021-01-28,133.5200,145.0900,126.3820,137.0900,137.0900,2061842286,0.0000
2020-12-31,121.0100,138.7890,120.0100,132.6900,132.6900,2319687808,0.0000
2020-11-30,109.1100,121.9900,107.3200,119.0500,119.0500,2122724412,0.2050
2020-10-30,117.6400,125.3900,107.7200,108.8600,108.6723,2895317580,0.0000
2020-09-30,132.7600,137.9800,103.1000,115.8100,115.6103,3886793083,0.0000
2020-08-31,432.8000,515.1400,126.0000,129.0400,128.8175,1184207050,0.8200
2020-07-31,365.1200,425.6600,356.5800,425.0400,105.8814,755162226,0.0000
2020-06-30,317.7500,372.3800,317.2100,364.8000,90.8751,810900890,0.0000
2020-05-29,286.2500,324.2400,285.8500,317.9400,79.2018,701660022,0.8200
2020-04-30,246.5000,294.5300,236.9000,293.8000,72.9953,816530808,0.0000
2020-03-31,282.2800,304.0000,212.6100,254.2900,63.1790,1570331732,0.0000
2020-02-28,304.3000,327.2200,256.3700,273.3600,67.9170,755223231,0.7700
2020-01-31,296.2400,327.8500,292.7500,309.5100,76.7139,734044103,0.0000
2019-12-31,267.2700,293.9700,256.2900,293.6500,72.7829,598871365,0.0000
2019-11-29,249.5400,268.0000,249.1600,267.2500,66.2395,448922253,0.7700
2019-10-31,225.0700,249.7500,215.1300,248.7600,61.4742,621478768,0.0000
2019-09-30,206.4300,226.4200,204.2200,223.9700,55.3481,547408488,0.0000
2019-08-30,213.9000,218.0300,192.5800,208.7400,51.5844,683515746,0.7700
2019-07-31,203.1700,221.3700,198.4100,213.0400,52.4461,473957094,0.0000
2019-06-28,175.6000,201.5700,170.2700,197.9200,48.7238,515218768,0.0000
2019-05-31,209.8800,215.3100,174.9900,175.0700,43.0986,739456573,0.7700
2019-04-30,191.6400,208.4800,188.3800,200.6700,49.2087,506117812,0.0000
2019-03-29,174.2800,197.6900,169.5000,189.9500,46.5799,650981384,0.0000
2019-02-28,166.9600,175.8700,165.9300,173.1500,42.4602,472540723,0.7300
2019-01-31,154.8900,169.0000,142.0000,166.4400,40.6406,828099179,0.0000
2018-12-31,184.4600,184.9400,146.5900,157.7400,38.5163,898917007,0.0000
2018-11-30,219.0500,222.3600,170.2600,178.5800,43.6049,961321947,0.7300
2018-10-31,227.9500,233.4700,206.0900,218.8600,53.2539,789748068,0.0000
2018-09-28,228.4100,229.6700,215.3000,225.7400,54.9279,678972040,0.0000
2018-08-31,199.1300,228.8700,197.3100,227.6300,55.3878,700318837,0.7300
2018-07-31,183.8200,195.9600,183.4200,190.2900,46.1398,393843881,0.0000
2018-06-29,187.9900,194.2000,180.7300,185.1100,44.8838,527624365,0.0000
2018-05-31,166.4100,190.3700,165.2700,186.8700,45.3106,620976206,0.7300
2018-04-30,166.6400,178.9400,160.6300,165.2600,39.9162,666360147,0.0000
2018-03-29,178.5400,183.5000,164.9400,167.7800,40.5249,701387082,0.0000
2018-02-28,167.1700,180.6200,150.2400,178.1200,43.0224,888378184,0.6300
2018-01-31,170.1600,180.1000,164.7000,167.4300,40.2781,639245534,0.0000
2017-12-29,169.9500,177.2000,166.4600,169.2300,40.7112,518560008,0.0000
